system,sequence,ate_run1,ate_run2,ate_run3,ate_min,ate_max,ate_ratio,rte_ratio,cross1,cross10,ratio_ge2,ratio_ge10
ORB-SLAM3,MGO01,0.1159260479,0.1353736015,0.1151901927,0.1151901927,0.1353736015,1.1752181182000923,1.025009816541041,False,False,False,False
ORB-SLAM3,MGO02,0.4486582119,0.7101084137,0.7641737576,0.4486582119,0.7641737576,1.7032425515267828,2.3466467350460345,False,False,False,False
ORB-SLAM3,MGO03,0.1399910272,0.1394619778,0.1396388483,0.1394619778,0.1399910272,1.0037935027764966,1.0237293995787844,False,False,False,False
ORB-SLAM3,MGO04,0.9914388403,0.1284998132,0.1210805618,0.1210805618,0.9914388403,8.188257682002265,5.56878419882711,False,False,True,False
ORB-SLAM3,MGO06,0.3011720385,0.1259844193,0.17907572,0.1259844193,0.3011720385,2.39054988048034,1.5019398981804275,False,False,True,False
ORB-SLAM3,MGO07,0.1544303617,0.1426694512,0.1536381587,0.1426694512,0.1544303617,1.082434679611356,1.077051989253812,False,False,False,False
ORB-SLAM3,MGO08,0.8672062962,1.5212075524,0.896494442,0.8672062962,1.5212075524,1.754147264688644,2.1247958756322753,True,False,False,False
ORB-SLAM3,MGO09,0.0464263332,0.0436562418,0.0980008422,0.0436562418,0.0980008422,2.244830021076161,1.192034038614974,False,False,True,False
ORB-SLAM3,MGO10,0.3290560458,0.3317080889,0.3166179551,0.3166179551,0.3317080889,1.0476603855117248,1.0355882455889855,False,False,False,False
ORB-SLAM3,MGO11,0.3977437675,0.3746664481,0.8637454289,0.3746664481,0.8637454289,2.3053717067012705,1.4038253097725844,False,False,True,False
ORB-SLAM3,MGO13,123.2235942874,114.4189016985,116.352285517,114.4189016985,123.2235942874,1.0769513817926766,1.4206806480905292,False,False,False,False
ORB-SLAM3,MGO14,0.2313860615,0.2438256201,0.2443506439,0.2313860615,0.2443506439,1.0560300923744277,1.0248814640226054,False,False,False,False
ORB-SLAM3,MGO15,0.4316418538,0.2414991978,0.2730687776,0.2414991978,0.4316418538,1.7873428058235974,1.0278281222384515,False,False,False,False
ORB-SLAM3,MIO01,608.0871415049,508.2234004596,615.3036151308,508.2234004596,615.3036151308,1.2106951678619373,1.2013720365954337,False,False,False,False
ORB-SLAM3,MIO02,0.629370605,98.7178789221,0.6287367343,0.6287367343,98.7178789221,157.00987955158516,9.468427727447496,True,True,True,True
ORB-SLAM3,MIO03,0.1202434548,0.59546385,0.6679156399,0.1202434548,0.6679156399,5.554694357467847,2.0091279206049557,False,False,True,False
ORB-SLAM3,MIO04,2.574510778,50.9076097882,2.680429179,2.574510778,50.9076097882,19.773702337244593,5.021786819036806,False,True,True,True
ORB-SLAM3,MIO05,0.2656721281,0.4915519582,0.3492884485,0.2656721281,0.4915519582,1.850220276080214,1.7709327132096957,False,False,False,False
ORB-SLAM3,MIO06,0.6916920056,1.4418050389,1.007814534,0.6916920056,1.4418050389,2.0844610422370335,1.4805806694785009,True,False,True,False
ORB-SLAM3,MIO07,0.5376771849,0.108112925,0.6724558414,0.108112925,0.6724558414,6.219939395775297,2.9403546143976533,False,False,True,False
ORB-SLAM3,MIO08,0.2923209131,0.294648591,0.2832353488,0.2832353488,0.294648591,1.0402959667582283,1.0351522123490016,False,False,False,False
ORB-SLAM3,MIO09,0.0333544302,0.0416743614,0.0360670327,0.0333544302,0.0416743614,1.2494400638869256,1.3972665722978133,False,False,False,False
ORB-SLAM3,MIO10,0.6013550168,0.5974569326,0.6124208127,0.5974569326,0.6124208127,1.025045956090727,1.008650679934055,False,False,False,False
